NFSP C++ Hold'em holdem_64x64_meanvar (nfsp_iqn) | seed=42 | 50000000 episodes | 3 workers | arch=[64,64] | batch=256 | learn_every=256 | target=128000 | dqn_lr=0.002 | sl_lr=0.0002 | dqn_buf=600000 | res_buf=15000000
==========================================================================================
[Ep   8350000/50000000] avg_r=  0.051 | h2h=  0.0000 | br= 2.4532 | avg= 0.4563 |   3110 ep/s | 44.9m
[Ep   8400000/50000000] avg_r=  0.052 | h2h=  0.0000 | br= 2.4562 | avg= 0.4551 |   3170 ep/s | 45.2m
[Ep   8450000/50000000] avg_r=  0.016 | h2h=  0.0000 | br= 2.4600 | avg= 0.4560 |   3121 ep/s | 45.5m
[Ep   8500000/50000000] avg_r=  0.015 | h2h=  0.0000 | br= 2.4582 | avg= 0.4553 |   3105 ep/s | 45.7m
[Ep   8550000/50000000] avg_r=  0.068 | h2h=  0.0000 | br= 2.4587 | avg= 0.4543 |   3176 ep/s | 46.0m
[Ep   8600000/50000000] avg_r=  0.019 | h2h=  0.0000 | br= 2.4583 | avg= 0.4549 |   3141 ep/s | 46.3m
[Ep   8650000/50000000] avg_r=  0.009 | h2h=  0.0000 | br= 2.4560 | avg= 0.4557 |   3104 ep/s | 46.5m
[Ep   8700000/50000000] avg_r=  0.074 | h2h=  0.0000 | br= 2.4569 | avg= 0.4577 |   3094 ep/s | 46.8m
[Ep   8750000/50000000] avg_r=  0.005 | h2h=  0.0000 | br= 2.4629 | avg= 0.4575 |   3179 ep/s | 47.1m
[Ep   8800000/50000000] avg_r=  0.014 | h2h=  0.0000 | br= 2.4592 | avg= 0.4582 |   3074 ep/s | 47.3m
[Ep   8850000/50000000] avg_r=  0.027 | h2h=  0.0000 | br= 2.4637 | avg= 0.4533 |   3117 ep/s | 47.6m
[Ep   8900000/50000000] avg_r=  0.061 | h2h=  0.0000 | br= 2.4930 | avg= 0.4541 |   3057 ep/s | 47.9m
[Ep   8950000/50000000] avg_r=  0.002 | h2h=  0.0000 | br= 2.5117 | avg= 0.4546 |   3064 ep/s | 48.1m
[Ep   9000000/50000000] avg_r= -0.022 | h2h=  0.0000 | br= 2.5100 | avg= 0.4563 |   3070 ep/s | 48.4m
[Ep   9050000/50000000] avg_r= -0.085 | h2h=  0.0000 | br= 2.5083 | avg= 0.4577 |   3050 ep/s | 48.7m
[Ep   9100000/50000000] avg_r=  0.077 | h2h=  0.0000 | br= 2.5120 | avg= 0.4568 |   3108 ep/s | 49.0m
[Ep   9150000/50000000] avg_r=  0.089 | h2h=  0.0000 | br= 2.5140 | avg= 0.4593 |   3199 ep/s | 49.2m
[Ep   9200000/50000000] avg_r=  0.036 | h2h=  0.0000 | br= 2.5119 | avg= 0.4608 |   3167 ep/s | 49.5m
[Ep   9250000/50000000] avg_r=  0.075 | h2h=  0.0000 | br= 2.5104 | avg= 0.4601 |   3226 ep/s | 49.7m
[Ep   9300000/50000000] avg_r=  0.025 | h2h=  0.0000 | br= 2.5143 | avg= 0.4627 |   3216 ep/s | 50.0m
[Ep   9350000/50000000] avg_r= -0.094 | h2h=  0.0000 | br= 2.5159 | avg= 0.4618 |   3169 ep/s | 50.3m
[Ep   9400000/50000000] avg_r=  0.003 | h2h=  0.0000 | br= 2.5124 | avg= 0.4627 |   3213 ep/s | 50.5m
[Ep   9450000/50000000] avg_r=  0.010 | h2h=  0.0000 | br= 2.5105 | avg= 0.4648 |   3057 ep/s | 50.8m
[Ep   9500000/50000000] avg_r= -0.112 | h2h=  0.0000 | br= 2.5094 | avg= 0.4636 |   3070 ep/s | 51.1m
[Ep   9550000/50000000] avg_r= -0.032 | h2h=  0.0000 | br= 2.5143 | avg= 0.4650 |   3049 ep/s | 51.3m
[Ep   9600000/50000000] avg_r= -0.059 | h2h=  0.0000 | br= 2.5139 | avg= 0.4654 |   3075 ep/s | 51.6m
[Ep   9650000/50000000] avg_r= -0.049 | h2h=  0.0000 | br= 2.5132 | avg= 0.4651 |   3122 ep/s | 51.9m
