NFSP C++ Hold'em holdem_64x64_iqn_neutral (nfsp_iqn) | seed=42 | 50000000 episodes | 3 workers | arch=[64,64] | batch=256 | learn_every=256 | target=128000 | dqn_lr=0.002 | sl_lr=0.0002 | dqn_buf=600000 | res_buf=15000000
==========================================================================================
[Ep   8700000/50000000] avg_r= -0.037 | h2h=  0.0000 | br= 2.3784 | avg= 0.5094 |   3005 ep/s | 49.1m
[Ep   8750000/50000000] avg_r= -0.029 | h2h=  0.0000 | br= 2.3792 | avg= 0.5093 |   2980 ep/s | 49.4m
[Ep   8800000/50000000] avg_r=  0.058 | h2h=  0.0000 | br= 2.3784 | avg= 0.5094 |   3004 ep/s | 49.7m
[Ep   8850000/50000000] avg_r=  0.003 | h2h=  0.0000 | br= 2.3757 | avg= 0.5074 |   3003 ep/s | 49.9m
[Ep   8900000/50000000] avg_r=  0.055 | h2h=  0.0000 | br= 2.3779 | avg= 0.5078 |   3004 ep/s | 50.2m
[Ep   8950000/50000000] avg_r=  0.050 | h2h=  0.0000 | br= 2.3812 | avg= 0.5073 |   2975 ep/s | 50.5m
[Ep   9000000/50000000] avg_r=  0.018 | h2h=  0.0000 | br= 2.3820 | avg= 0.5064 |   2998 ep/s | 50.8m
[Ep   9050000/50000000] avg_r=  0.039 | h2h=  0.0000 | br= 2.3773 | avg= 0.5066 |   3023 ep/s | 51.0m
[Ep   9100000/50000000] avg_r= -0.013 | h2h=  0.0000 | br= 2.3786 | avg= 0.5066 |   2968 ep/s | 51.3m
[Ep   9150000/50000000] avg_r=  0.044 | h2h=  0.0000 | br= 2.3804 | avg= 0.5066 |   3022 ep/s | 51.6m
[Ep   9200000/50000000] avg_r=  0.107 | h2h=  0.0000 | br= 2.3814 | avg= 0.5050 |   3021 ep/s | 51.9m
[Ep   9250000/50000000] avg_r=  0.085 | h2h=  0.0000 | br= 2.3847 | avg= 0.5058 |   2985 ep/s | 52.2m
[Ep   9300000/50000000] avg_r=  0.039 | h2h=  0.0000 | br= 2.3840 | avg= 0.5035 |   3024 ep/s | 52.4m
[Ep   9350000/50000000] avg_r= -0.020 | h2h=  0.0000 | br= 2.3819 | avg= 0.5034 |   3010 ep/s | 52.7m
[Ep   9400000/50000000] avg_r= -0.027 | h2h=  0.0000 | br= 2.3833 | avg= 0.5034 |   2994 ep/s | 53.0m
[Ep   9450000/50000000] avg_r=  0.016 | h2h=  0.0000 | br= 2.3800 | avg= 0.5016 |   2990 ep/s | 53.3m
[Ep   9500000/50000000] avg_r=  0.073 | h2h=  0.0000 | br= 2.3798 | avg= 0.5087 |   3017 ep/s | 53.5m
[Ep   9550000/50000000] avg_r=  0.087 | h2h=  0.0000 | br= 2.3780 | avg= 0.5161 |   3027 ep/s | 53.8m
[Ep   9600000/50000000] avg_r=  0.016 | h2h=  0.0000 | br= 2.3780 | avg= 0.5152 |   3214 ep/s | 54.1m
[Ep   9650000/50000000] avg_r=  0.047 | h2h=  0.0000 | br= 2.3914 | avg= 0.5040 |   3169 ep/s | 54.3m
